backend,case,explanation,images_per_sec,kind,max_run_ms,median_ms,min_run_ms,p95_ms,repetitions,run_spread_percent,size,transform,valid,variant
albumentationsx,,,336.88942581576936,layer1_transform,3.177694,2.968333,2.873648,5.676324,3,10.242988236158126,1024,Affine,True,stock
albumentationsx,,,6525.90294024557,layer1_transform,0.153236,0.1532355,0.153136,0.194311,3,0.06525902940246663,224,Affine,True,stock
albumentationsx,,,1452.6775753068055,layer1_transform,0.6892240000000001,0.688384,0.685624,0.715044,3,0.5229639271104569,512,Affine,True,stock
albumentationsx,,,22750.022750022752,layer1_transform,0.050485,0.043955999999999995,0.040870000000000004,0.06392,3,21.874146874146874,1024,CenterCrop,True,stock
albumentationsx,,,161812.29773462785,layer1_transform,0.0064150000000000006,0.00618,0.006005,0.00709,3,6.634304207119751,224,CenterCrop,True,stock
albumentationsx,,,78339.20877399138,layer1_transform,0.013045,0.012765,0.012375,0.01497,3,5.248726987857412,512,CenterCrop,True,stock
albumentationsx,,,224.87618598295015,layer1_transform,4.557187000000001,4.4468914999999996,4.4373765,5.064511,3,2.6942528280710407,1024,ColorJitter,True,stock
albumentationsx,,,4642.39621923252,layer1_transform,0.221451,0.215406,0.213451,0.276062,3,3.713916975386019,224,ColorJitter,True,stock
albumentationsx,,,984.5077854875676,layer1_transform,1.015911,1.015736,1.0137715,1.072927,3,0.21063544070506124,512,ColorJitter,True,stock
albumentationsx,,,1196.0005740802756,layer1_transform,0.83891,0.83612,0.8210395,0.852705,3,2.1373128259101577,1024,GaussianBlur,True,stock
albumentationsx,,,21597.805662944647,layer1_transform,0.046645,0.046300999999999995,0.04607,0.07542,3,1.2418738256193154,224,GaussianBlur,True,stock
albumentationsx,,,5063.393688986106,layer1_transform,0.200816,0.197496,0.197071,0.237291,3,1.896240936525296,512,GaussianBlur,True,stock
albumentationsx,,,4822.623893207816,layer1_transform,0.2099365,0.207356,0.207341,0.234461,3,1.2517120314820889,1024,Grayscale,True,stock
albumentationsx,,,73179.65605561654,layer1_transform,0.01368,0.013665,0.013655,0.01475,3,0.18294914013903388,224,Grayscale,True,stock
albumentationsx,,,19223.37562475971,layer1_transform,0.052115,0.05202,0.051685499999999995,0.07012,3,0.8256439830834416,512,Grayscale,True,stock
albumentationsx,,,11733.64623056615,layer1_transform,0.08540500000000001,0.085225,0.0838005,0.100711,3,1.8826635376943488,1024,HorizontalFlip,True,stock
albumentationsx,,,138888.8888888889,layer1_transform,0.00721,0.0072,0.00712,0.00816,3,1.2500000000000093,224,HorizontalFlip,True,stock
albumentationsx,,,50403.22580645161,layer1_transform,0.020464999999999997,0.01984,0.01958,0.02472,3,4.460685483870952,512,HorizontalFlip,True,stock
albumentationsx,,,15781.458364567472,layer1_transform,0.07234550000000001,0.06336549999999999,0.0625105,0.086131,3,15.521064301552126,1024,Invert,True,stock
albumentationsx,,,177304.9645390071,layer1_transform,0.00569,0.005639999999999999,0.0056355,0.00667,3,0.9663120567375864,224,Invert,True,stock
albumentationsx,,,65659.88181221274,layer1_transform,0.01525,0.01523,0.01521,0.0206,3,0.26263952724885165,512,Invert,True,stock
albumentationsx,,,957.271240891564,layer1_transform,1.047047,1.0446360000000001,1.040601,1.072037,3,0.6170570418786976,1024,Normalize,True,stock
albumentationsx,,,17831.51006142955,layer1_transform,0.05617,0.0560805,0.0559905,0.083011,3,0.32007560560265885,224,Normalize,True,stock
albumentationsx,,,3829.781530112614,layer1_transform,0.261536,0.26111150000000005,0.259717,0.287312,3,0.6966372603274903,512,Normalize,True,stock
albumentationsx,,,14454.940337233757,layer1_transform,0.07460549999999999,0.0691805,0.0674005,0.092701,3,10.414784512976906,1024,Posterize,True,stock
albumentationsx,,,131752.30566534915,layer1_transform,0.00771,0.00759,0.00753,0.00833,3,2.3715415019762793,224,Posterize,True,stock
albumentationsx,,,58105.75246949448,layer1_transform,0.0174,0.01721,0.017185,0.03393,3,1.249273678094131,512,Posterize,True,stock
albumentationsx,,,17697.548889478807,layer1_transform,0.07432549999999999,0.056505,0.056005,0.083551,3,32.42279444296963,1024,RandomCrop,True,stock
albumentationsx,,,143061.5164520744,layer1_transform,0.0073,0.00699,0.00688,0.01023,3,6.008583690987128,224,RandomCrop,True,stock
albumentationsx,,,71864.89399928135,layer1_transform,0.013989999999999999,0.013915,0.01368,0.01526,3,2.2278117139777183,512,RandomCrop,True,stock
albumentationsx,,,1669.3710477640448,layer1_transform,0.6248585,0.5990279999999999,0.5574034999999999,0.647364,3,11.26074240269237,1024,Resize,True,stock
albumentationsx,,,33282.85433758799,layer1_transform,0.03029,0.030045500000000003,0.02994,0.04422,3,1.1648999018155783,224,Resize,True,stock
albumentationsx,,,7835.087086992972,layer1_transform,0.1396405,0.127631,0.12754,0.171381,3,9.480847129615858,512,Resize,True,stock
albumentationsx,,,14031.05071523281,layer1_transform,0.07215550000000001,0.0712705,0.06722600000000001,0.09469,3,6.916606450074019,1024,Solarize,True,stock
albumentationsx,,,104876.7697954903,layer1_transform,0.009595,0.009535,0.009465,0.01071,3,1.363398007341373,224,Solarize,True,stock
albumentationsx,,,47812.57470714798,layer1_transform,0.020965,0.020915,0.0204855,0.02882,3,2.292612957207749,512,Solarize,True,stock
albumentationsx,,,15460.729746444033,layer1_transform,0.06553,0.06468,0.0616105,0.083251,3,6.059833024118748,1024,VerticalFlip,True,stock
albumentationsx,,,161550.8885298869,layer1_transform,0.006215,0.00619,0.00619,0.00722,3,0.4038772213247149,224,VerticalFlip,True,stock
albumentationsx,,,62285.892245406416,layer1_transform,0.01644,0.016055,0.01561,0.02005,3,5.169729056368727,512,VerticalFlip,True,stock
